,Correlation,Abs Correlation,Correlation (%)
RRInterval,0.7165916243177816,0.7165916243177816,71.65916243177816
PPInterval,0.7139718298417997,0.7139718298417997,71.39718298417998
QTInterval,0.5934676449758558,0.5934676449758558,59.34676449758558
Race,-0.4303737038491613,0.4303737038491613,43.03737038491613
QRSDuration,0.34424169144682715,0.34424169144682715,34.424169144682715
DiaBP,0.29302927256372935,0.29302927256372935,29.302927256372936
VentricularRate,-0.28624752741093556,0.28624752741093556,28.624752741093555
MAP,0.2711889495712496,0.2711889495712496,27.11889495712496
QTCInterval,0.2703193442844259,0.2703193442844259,27.03193442844259
Age,0.26351177218771077,0.26351177218771077,26.351177218771078
SysBP,0.2253833859047891,0.2253833859047891,22.538338590478908
Height,0.16006447236033408,0.16006447236033408,16.00644723603341
PQInterval,0.15273186962343244,0.15273186962343244,15.273186962343244
Weight,0.10534188832991163,0.10534188832991163,10.534188832991163
BMI,-0.016467252339300617,0.016467252339300617,1.6467252339300618
I,,,
II,,,
aVL,,,
aVF,,,
